API input (mg/inh.a),API name,CAS No.,year,country,region,data source,coverage rate (%),ATC-Codes included
525.56,Carbamazepine,298-46-4,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,N03AF01
80.01,Clarithromycin,81103-11-9,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,more than 1
160.35,Diclofenac,15307-86-5,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,
n.d.,Estrone (E1),53-16-7,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,
8.26,Fluconazole,86386-73-4,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,
1002.21,Metoprolol,37350-58-6,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,
97.55,Primidone,125-33-7,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,
23.10,Sulfamethoxazole,129378-89-8,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,
43.15,Trimethoprim,738-70-5,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,
347.39,Venlafaxine,93413-69-5,2023,Germany,Mecklenburg-Vorpommern,WIdO (https://www.wido.de/),0.88,
tbd,Carbamazepine,298-46-4,2024,Germany,n.d.,IQVIA,,N03AF01
tbd,Carbamazepine,298-46-4,2023,Germany,n.d.,IQVIA,,N03AF01
tbd,Carbamazepine,298-46-4,2022,Germany,n.d.,IQVIA,,N03AF01
