API name,ERA [ng/l],Reference
Carbamazepine,2500,Directive (EU) 2026/805
Clarithromycin,130,Directive (EU) 2026/805
Diclofenac,40,Directive (EU) 2026/805
Estrone (E1),0.36,Directive (EU) 2026/805
Fluconazole,250,COMMISSION IMPLEMENTING DECISION (EU) 2022/1307
Metoprolol,8600,NORMAN Ecotoxicology Database
Primidone,2500,Directive (EU) 2026/805 (Groundwater)
Sulfamethoxazole,100,Directive (EU) 2026/805 (Groundwater)
Trimethoprim,100,COMMISSION IMPLEMENTING DECISION (EU) 2022/1307
Venlafaxine,6,COMMISSION IMPLEMENTING DECISION (EU) 2022/1307
