API name, Germany, Finland, Latvia, Poland, Sweden
Carbamazepine, 17579.81, 5461.269, 19074.71, 27663.6, 2457.018
Clarithromycin, 1884.535, 807.0543,	2135.991, 14255.13,	822.4035
Diclofenac, 197.8803, 392.4327,	1900.556, 8657.417,	943.8694
Estrone (E1), 0, 0,	0, 0, 0
Fluconazole, 1491.286, 513.4748, 607.5075, 6251.576, 5367.116
Metoprolol, 1157.072, 700.3878,	2040.386, 8397.652,	39079.79
Primidone, 393.5541, 1286.138, 4416.076, 632.3957, 3653.029
Sulfamethoxazole, 18153.26, 6768.875, 1453.131, 4666.609, 880.3664
Trimethoprim, 72.57769, 57.49429, 194.1983, 9757.267, 166.366
Venlafaxine, 523.1523, 151.0635, 357.8954, 4384.786, 300.5688
